tethered	deleted
38.797	17.312
43.214	21.075
30.23	34.785
12.954	15.767
27.933	27.015
19.454	21.933
27.985	10.72
33.225	9.788
10.843	33.487
20.962	14.553
15.499	30.829
14.258	56.624
19.524	15.683
9.8061	21.393
3.0749	55.341
25.44	54.462
16.202	22.86
32.009	30.363
23.84	19.923
13.975	21.462
39.595	22.177
41.662	33.708
21.839	41.1
4.4089	19.39
31.408	31.894
51.418	1.852
15.425	32.057
36.822	25.707
6.9556	28.744
22.085	14.715
42.211	23.458
21.454	30.279
18.765	22.059
40.378	38.928
46.48	28.505
52.619	39.128
39.153	24.96
28.756	48.335
35.315	39.839
36.532	34.264
23.391	26.265
20.36	27.305
24.327	17.176
27.44	9.8844
2.6589	5.1108
42.457	10.813
12.978	24.04
28.948	18.472
45.599	29.011
33.464	8.4766
22.705	19.873
22.492	38.515
21.876	36.943
7.396	33.28
10.712	7.4888
30.262	5.2454
32.638	20.031
20.845	41.656
14.128	41.91
48.024	38.193
39.276	48.423
42.481	51.373
52.725	35.156
54.456	16.954
15.35	14.869
10.81	10.513
27.641	17.716
13.949	55.963
5.1161	33.987
34.012	28.039
21.61	11.172
41.659	27.885
32.785	56.867
29.854	25.372
5.4872	26.178
26.951	35.417
30.639	13.045
29.819	18.175
13.013	32.047
20.892	36.322
34.611	23.43
39.022	31.945
12.914	63.67
48.018	45.226
24.344	10.492
3.7073	16.176
33.559	42.902
25.182	22.02
13.687	40.628
30.75	18.601
30.772	25.014
16.766	29.745
14.151	37.881
24.573	28.509
12.298	58.836
22.736	37.032
11.856	3.6474
31.476	8.3195
14.04	54.858
14.231	32.114
3.0184	62.706
43.309	64.731
15.391	33.79
16.09	7.1636
35.963	12.115
37.141	10.694
22.699	16.837
18.6	16.918
14.161	15.458
18.944	11.424
29.553	46.417
20.212	36.15
59.745	20.297
22.776	27.887
3.5795	49.139
9.9113	21.889
28.424	47.295
14.291	22.845
14.761	77.183
23.877	36.881
26.955	40.826
20.273	39.594
16.052	12.081
12.95	45.588
21.124	8.1365
24.234	27.409
23.302	31.714
17.202	20.175
30.459	14.861
33.48	25.11
3.928	48.227
16.181	50.918
13.14	9.0531
16.124	25.674
39.306	12.566
17.852	13.963
6.6638	17.465
10.209	30.147
1.9298	27.277
13.589	31.671
13.967	15.243
52.578	17.483
47.525	48.766
34.369	16.162
60.247	14.432
12.417	43.746
54.175	29.789
18.767	12.042
38.113	15.123
24.349	50.355
20.441	32.26
9.9905	40.16
24.096	6.6932
26.37	18.772
10.677	25.901
23.492	30.752
14.898	10.953
25.722	29.493
11.911	8.5186
3.3249	24.486
15.193	18.814
34.645	19.507
32.474	39.129
19.1	33.565
38.089	36.077
28.65	7.9044
7.839	29.822
13.755	17.756
20.851	49.808
9.9935	6.2203
27.54	22.781
61.214	16.228
25.984	8.5004
3.0169	55.997
26.107	15.099
14.096	11.509
40.013	23.959
42.597	18.034
3.5072	11.147
48.02	9.837
39.49	16.651
13.651	17.307
47.057	7.587
22.115	30.241
25.968	4.3787
34.741	44.733
28.544	50.056
28.309	14.22
18.572	22.849
28.023	22.656
51.586	48.421
6.8141	11.699
18.85	34.363
34.288	36.698
13.148	13.037
30.737	4.4757
48.4	17.219
16.909	20.552
23.171	60.973
21.571	68.602
31.538	55.208
22.416	23.414
15.967	30.69
16.401	15.277
27.651	5.3663
8.43	15.921
25.829	42.693
20.14	17.283
11.094	45.767
21.061	3.8297
21.455	16.732
15.675	11.649
23.414	36.685
18.753	54.597
54.793	14.193
51.698	33.525
27.465	23.191
8.4216	16.8
11.012	26.167
16.832	16.66
34.901	17.008
22.5	11.511
33.105	24.769
30.011	38.561
33.076	48.912
39.53	13.764
43.325	13.69
48.929	12.112
36.788	23.442
45.918	25.271
15.206	26.174
25.803	25.398
27.766	35.321
19.014	26.85
15.34	31.632
31.029	33.787
15.537	15.09
28.73	13.53
3.3446	31.61
32.776	7.9542
9.8967	18.314
36.054	18.849
25.473	48.912
18.627	30.099
21.21	13.83
27.703	28.673
22.84	23.672
36.212	14.646
20.809	42.839
10.754	4.3184
0.28394	28.147
15.334	12.285
25.962	50.513
17.667	33.539
5.515	17.49
9.6207	29.058
19.992	20.452
44.432	18.24
24.03	25.49
12.932	40.104
42.21	26.015
56.298	34.059
64.267	27.745
34.463	7.4923
35.92	21.959
14.071	18.103
28.714	31.852
42.915	32.214
23.918	33.496
14.475	29.728
17.684	13.513
32.289	48.153
21.006	19.217
30.148	22.412
27.108	22.745
29.543	8.0027
33.766	8.3644
26.703	27.798
23.009	31.778
38.223	13.476
9.8666	22.366
21.006	11.412
32.26	22.747
6.2653	7.7188
36.542	16.146
20.336	33.57
22.872	5.7682
22.326	10.43
19.886	15.105
12.361	22.783
37.976	24.924
11.749	17.488
16.09	11.23
35.947	27.781
22.331	26.644
20.676	32.622
19.18	44.291
8.1226	7.2563
23.544	19.831
45.753	13.519
32.769	35.78
48.117	32.91
31.448	22.898
46.397	7.8566
3.2753	28.381
23.03	1.3107
33.021	54.88
19.694	34.519
10.357	26.295
57.537	11.981
26.226	22.927
32.564	9.2169
19.935	18.409
12.437	23.462
5.4912	10.057
25.373	27.29
3.3236	20.892
17.417	41.863
7.8296	39.088
28.708	72.314
32.19	41.882
7.8984	36.488
16.203	20.322
23.678	7.2748
13.621	18.874
27.787	40.418
9.2305	25.67
17.187	58.547
11.179	17.674
19.168	29.27
6.0742	38.982
13.716	30.14
11.152	37.098
18.3	47.889
11.05	6.4226
15.638	8.9928
27.51	40.197
14.657	27.768
11.212	14.518
14.706	15.872
38.03	36.166
19.565	28.918
12.143	46.917
26.765	32.337
33.654	44.043
30.636	24.124
10.049	32.055
24.01	20.587
8.5333	12.694
12.315	2.3337
23.291	16.348
20.69	17.139
16.348	24.219
11.673	16.032
20.226	2.8582
20.333	26.61
12.546	28.694
16.523	37.781
27.955	33.54
31.078	25.122
22.98	37.441
20.93	35.652
16.538	24.632
21.005	32.423
6.5537	21.999
56.265	18.732
38.663	41.775
32.328	17.367
21.25	5.5417
43.526	10.737
47.085	27.734
41.701	26.618
12.395	27.13
24.249	34.21
27.97	40.734
30.979	49.826
43.68	35.798
32.118	43.045
4.5656	46.421
13.963	36.731
30.303	22.141
28.429	9.962
22.359	17.362
20.958	45.077
41.657	30.005
28.664	20.609
26.205	44.543
27.129	22.541
15.036	31.963
24.359	38.492
39.163	39.338
8.5143	19.722
17.081	14.503
22.169	2.6746
27.101	25.306
14.611	25.389
25.623	32.5
18.77	23.785
37.48	17.757
8.2871	47.053
24.971	73.321
32.055	16.223
2.4111	30.51
19.013	11.992
11.764	58.959
21.116	25.289
22.166	33.981
46.743	27.324
10.271	28.675
40.968	37.284
42.619	17.632
26.509	11.508
1.3276	13.175
24.661	30.659
44.294	27.418
34.683	15.315
25.623	20.274
32.983	13.137
30.147	25.803
18.904	40.488
11.447	24.557
11.778	33.555
29.781	16.975
17.607	24.381
16.151	4.5372
18.906	11.216
8.9258	21.434
9.9125	11.281
34.289	30.855
46.305	17.528
16.613	58.821
15.856	30.666
30.304	16.759
42.814	7.9924
36.317	31.451
17.931	32.322
33.825	24.966
16.692	23.503
13.357	8.7728
9.8978	20.797
7.7663	27.339
18.052	50.072
33.116	31.731
4.0305	14.523
48.927	42.494
55.029	20.463
22.394	12.065
68.681	9.519
36.727	33.853
24.524	30.204
22.243	23.482
20.233	11.315
4.4469	12.1
9.1838	32.296
22.016	39.807
22.69	41.982
3.7405	23.12
17.936	24.057
8.0599	23.883
2.5214	28.04
14.097	16.219
26.707	34.496
50.572	46.619
43.055	23.206
59.995	14.534
16.989	19.022
22.028	27.771
3.5956	8.5255
20.967	13.794
14.845	54.89
32.171	32.452
10.692	19.056
17.764	38.624
14.424	10.488
25.822	27.055
30.267	20.012
15.636	21.647
14.923	21.934
19.812	15.915
21.483	40.67
23.925	16.129
25.979	15.5
26.254	28.992
20.551	40.479
22.026	45.641
4.1322	53.796
28.061	68.568
8.5228	46.989
6.0272	3.0632
55.777	21.976
15.737	36.625
22.747	31.9
36.588	15.931
28.558	17.71
19.581	30.937
11.652	13.402
11.281	20.543
26.821	13.4
23.17	15.947
40.19	28.239
10.449	51.44
40.042	23.916
11.83	23.127
28.547	11.212
26.743	17.375
16.448	20.481
11.197	24.423
13.702	28.753
24.697	19.914
27.845	30.841
19.888	4.4021
22.039	28.289
19.935	63.726
38.208	44.22
14.853	44.476
22.13	6.3964
24.757	27.953
19.454	8.5187
32.127	4.7578
30.206	31.79
21.82	6.9999
5.8172	14.238
9.9954	15.281
24.399	9.9451
31.544	6.1279
35.633	16.946
14.571	24.884
14.963	22.308
27.856	49.958
10.464	47.976
20.402	5.9223
12.74	43.557
19.186	15.004
3.7545	18.237
29.975	15.002
7.7713	25.119
21.071	10.309
5.257	47.592
10.631	10.717
45.856	20.552
29.661	24.175
28.58	61.594
36.002	28.181
12.874	32.959
12.795	57.401
20.677	36.834
14.476	22.76
38.049	12.528
69.934	10.844
20.282	5.0158
23.717	13.861
11.741	14.606
16.293	6.3418
5.0324	28.846
24.282	39.129
32.293	31.803
14.092	21.143
33.805	21.209
29.436	5.6486
25.654	35.592
32.089	9.4689
34.975	16.478
13.583	18.731
19.181	51.858
15.981	47.148
20.911	67.131
9.7575	52.86
31.931	64.379
42.732	47.766
46.189	47.667
10.169	59.478
10.475	31.404
34.848	17.327
26.536	3.9626
31.879	29.191
28.256	25.39
7.2418	27.571
33.36	49.044
6.1505	69.084
49.747	31.757
22.588	32.941
36.832	8.8137
37.015	35.814
16.407	3.0457
13.695	30.277
9.1033	4.3626
39.691	19.493
59.709	30.147
30.284	14.306
25.571	33.233
14.188	10.906
25.214	30.376
19.242	18.864
9.0398	11.774
21.569	34.327
1.0567	21.024
26.174	31.014
9.2932	25.808
53.589	24.529
13.778	30.914
30.281	17.867
16.87	28.904
31.737	38.469
13.646	29.601
26.325	6.6575
18.267	11.991
29.835	27.405
12.847	17.33
12.114	8.1687
35.749	21.975
17.948	13.174
14.12	26.998
23.405	12.107
28.85	2.1073
28.192	27.264
12.793	23.219
60.574	31.258
19.1	5.8651
15.461	26.555
10.286	25.523
30.513	30.81
14.993	3.7363
13.398	27.933
61.172	37.644
25.32	33.001
31.68	35.853
28.207	30.743
18.595	31.331
9.3667	10.33
29.003	22.586
62.688	21.334
43.481	39.528
73.708	50.225
20.304	15.198
26.621	14.256
38.279	17.138
38.04	22.868
10.505	13.806
6.1459	6.65
36.454	32.233
3.0994	41.955
12.059	20.944
17.208	41.389
13.541	70.799
2.4487	31.483
16.367	22.72
18.182	7.9686
22.183	22.71
19.222	14.726
34.196	25.751
28.489	28.052
26.615	44.456
21.828	27.415
17.328	15.109
24.847	43.495
44.299	6.6688
50.191	19.86
53.983	16.625
12.044	54.341
24.714	41.872
9.5863	25.596
24.639	25.107
23.739	26.508
2.9835	56.014
16.119	53.02
23.604	17.214
14.156	16.187
10.182	25.555
10.052	15.811
55.045	14.483
25.43	43.966
13.743	38.817
35.853	52.99
28.299	48.718
36.762	60.853
13.539	21.383
16.732	7.9706
11.189	28.901
18.798	21.864
17.815	14.058
5.9284	29.263
13.474	23.509
29.889	7.7648
10.244	24.851
46.105	21.332
18.774	25.457
21.114	6.3533
32.14	23.573
46.39	13.572
9.877	49.759
17.797	39.539
25.32	28.405
46.029	30.307
7.1359	36.633
18.974	46.933
26.353	22.584
28.427	29.188
18.881	20.121
21.922	17.66
7.0723	9.8008
16.046	9.1977
10.691	35.474
33.089	42.29
33.913	21.628
20.568	22.598
17.177	10.905
19.31	17.64
37.217	19.194
12.233	27.323
16.968	17.324
31.574	48.994
16.88	66.73
51.055	35.018
39.3	7.5885
43.241	17.255
20.339	31.756
33.659	19.394
36.757	24.029
25.52	50.09
6.7067	43.009
12.888	8.1728
18.912	34.796
12.475	43.393
12.688	44.079
16.426	24.363
36.723	22.125
10.158	23.513
40.796	24.658
19.426	13.67
26.682	2.2728
38.89	10.973
29.759	13.027
19.04	12.805
5.0676	31.962
21.528	27.303
27.182	16.412
3.4217	24.773
7.3218	21.967
18.236	15.227
34.348	29.396
16.31	49.646
19.376	8.0349
44.095	20.544
35.152	34.972
4.2706	38.941
26.168	36.013
25.497	48.294
14.769	64.606
5.7234	71.492
31.133	81.991
22.737	63.763
28.151	15.218
22.527	50.206
10.672	34.716
40.401	24.931
16.47	46.516
26.036	61.081
18.821	33.039
29.956	27.138
17.46	10.978
9.9097	20.347
21.932	19.941
23.06	15.309
27.467	0.93219
5.4954	3.2224
22.016	18.139
33.835	11.017
12.758	16.251
14.45	9.2241
33.516	26.224
22.987	7.664
10.761	17.512
34.169	21.845
59.149	33.088
44.179	12.152
11.348	6.4014
36.78	38.892
27.629	26.618
48.609	12.809
52.15	26.011
15.998	30.397
59.159	27.855
31.562	21.131
19.879	7.1122
11.049	8.0249
15.644	22.017
14.85	30.883
16.459	6.9184
9.525	19.979
22.615	10.522
44.465	20.912
7.0808	8.5282
29.5	40.985
38.764	41.511
38.662	28.971
22.468	35.04
26.263	30.813
16.029	14.604
22.168	11.15
13.3	18.808
47.55	6.2894
54.418	9.4493
15.55	11.713
8.1936	21.679
50.021	34.042
33.383	9.2666
12.536	16.443
35.162	39.779
43.467	36.035
30.345	65.97
36.684	18.782
19.508	21.217
20.856	17.063
31.656	29.875
33.864	31.856
29.217	40.958
20.61	36.741
16.728	36.11
34.23	22.194
12.134	41.059
20.719	42.717
36.473	35.796
24.934	11.356
8.4723	12.541
26.259	26.722
15.092	28.787
22.569	53.568
25.321	37.452
18.962	47.827
48.641	28.264
19.633	13.756
20.426	11.933
8.4831	20.334
32.39	11.282
36.704	33.17
23.059	58.232
45.864	32.535
25.51	35.761
33.773	34.124
9.623	23.366
20.831	17.051
18.191	49.414
33.338	46.033
39.005	21.261
28.69	4.1832
